time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
0.8,4.865649701020072,9.731299402040143,5.212879375885441,5.404406608976436,10.808813217952872,5.736881827846123,0.0,0.0,0.0,0.0,0.0,0.0
0.81,4.919186914023683,9.838373828047366,5.269610642168352,5.353721300361171,10.707442600722342,5.673126628291098,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,4.9722089581687525,9.944417916337505,5.3256937125957835,5.302204414506967,10.604408829013934,5.608307042743136,0.0,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,5.024707729632829,10.049415459265658,5.381118244205162,5.249877146407679,10.499754292815359,5.542453160937831,0.0,0.0,0.0,0.0,0.0,0.0
0.84,5.076675336449857,10.153350672899714,5.4358741950251845,5.1967606817027825,10.393521363405565,5.4755950820022985,0.0,0.0,0.0,0.0,0.0,0.0
0.85,5.128104098364602,10.256208196729204,5.4899518240785,5.142876191474508,10.285752382949015,5.40776290533152,0.0,0.0,0.0,0.0,0.0,0.0
0.86,5.178986546635609,10.357973093271218,5.543341691294058,5.088244827100647,10.176489654201294,5.338986721555849,0.0,0.0,0.0,0.0,0.0,0.0
0.87,5.229315423787247,10.458630847574494,5.5960346573300725,5.03288771516375,10.0657754303275,5.269296603601469,0.0,0.0,0.0,0.0,0.0,0.0
0.88,5.279083683311421,10.558167366622841,5.6480218833085285,4.976825952417431,9.953651904834862,5.198722597845553,0.0,0.0,0.0,0.0,0.0,0.0
0.89,5.328284489319525,10.65656897863905,5.699294830462207,4.920080600810471,9.840161201620942,5.1272947153678405,0.0,0.0,0.0,0.0,0.0,0.0
0.9,5.376911216145219,10.753822432290438,5.74984525969521,4.862672682569379,9.725345365138757,5.055042923300296,0.0,0.0,0.0,0.0,0.0,0.0
0.91,5.4249574478986196,10.849914895797239,5.799665231057975,4.804623175340055,9.60924635068011,4.981997136276436,0.0,0.0,0.0,0.0,0.0,0.0
0.92,5.472416977972512,10.944833955945024,5.848747103137794,4.745953007389189,9.491906014778378,4.908187207981932,0.0,0.0,0.0,0.0,0.0,0.0
0.93,5.5192838085011715,11.038567617002343,5.8970835323658735,4.686683052865984,9.373366105731968,4.833642922807979,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,5.56555214977242,11.13110429954484,5.944667472241963,4.626834127124795,9.25366825424959,4.7583939876089225,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,5.611216419593512,11.222432839187023,5.991492172477619,4.5664269821092365,9.132853964218473,4.682470023565575,0.0,0.0,0.0,0.0,0.0,0.0
0.96,5.656271242611495,11.31254248522299,6.037551178059175,4.505482301798307,9.010964603596614,4.60590055815559,0.0,0.0,0.0,0.0,0.0,0.0
0.97,5.7007114495886455,11.401422899177291,6.082838328231498,4.444020697715037,8.888041395430074,4.528715017232259,0.0,0.0,0.0,0.0,0.0,0.0
0.98,5.744532076633627,11.489064153267254,6.127347755403628,4.38206270449817,8.76412540899634,4.450942717212992,0.0,0.0,0.0,0.0,0.0,0.0
0.99,5.787728364389,11.575456728778,6.1710738839774155,4.319628775537348,8.639257551074696,4.372612857378752,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.830295757175723,11.660591514351445,6.214011429100272,4.256739278672249,8.513478557344499,4.293754512285642,0.0,0.0,0.0,0.0,0.0,0.0
